#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
1.15554e+16	1.7483e+04	4.203e-20	7.7426e+01	9.0902e+01	1.4492e-20	5.8603e-05	9.9994e-01	3.9505e-07	6.1762e-03	9.9382e-01	5.4440e-34	1.7703e-10	4.9369e-06	3.5257e-03	7.1227e-02	1.5163e-11	8.8139e-07	1.8634e-03	1.5182e-01	4.5537e-01	3.0799e-01	1.1755e-36	0.00e+00	0.00e+00	6.6195e-04
6.93326e+16	1.7433e+04	4.191e-20	7.7426e+01	9.0907e+01	1.4573e-20	5.8591e-05	9.9994e-01	3.9541e-07	6.1802e-03	9.9382e-01	5.3848e-34	1.6418e-10	4.9188e-06	3.5203e-03	7.1549e-02	1.5236e-11	8.8666e-07	1.8792e-03	1.5256e-01	4.5666e-01	3.0726e-01	1.1755e-36	0.00e+00	0.00e+00	3.3092e-03
3.00441e+17	1.7330e+04	4.171e-20	7.7426e+01	9.0907e+01	1.4684e-20	5.8540e-05	9.9994e-01	3.9751e-07	6.2063e-03	9.9379e-01	5.3391e-34	1.3260e-10	4.9432e-06	3.5504e-03	7.2539e-02	1.5555e-11	9.0639e-07	1.9308e-03	1.5471e-01	4.5870e-01	3.0560e-01	1.1755e-36	0.00e+00	0.00e+00	1.3889e-02
1.22488e+18	1.7088e+04	4.132e-20	7.7426e+01	9.0904e+01	1.4866e-20	5.8346e-05	9.9994e-01	4.0586e-07	6.3391e-03	9.9366e-01	5.5630e-34	9.0527e-11	5.1067e-06	3.7080e-03	7.5820e-02	1.6631e-11	9.7243e-07	2.1172e-03	1.6186e-01	4.6402e-01	2.9831e-01	1.1755e-36	0.00e+00	0.00e+00	5.6068e-02
2.92584e+18	1.6527e+04	4.004e-20	7.7426e+01	9.0903e+01	1.3932e-20	5.6058e-05	9.9994e-01	3.9820e-07	6.2682e-03	9.9373e-01	5.0065e-34	4.7067e-11	5.1045e-06	3.8211e-03	8.0815e-02	1.7271e-11	1.0371e-06	2.3871e-03	1.7202e-01	4.7131e-01	2.8786e-01	1.1755e-36	0.00e+00	0.00e+00	1.0875e-01
4.73720e+18	1.6016e+04	3.898e-20	7.7426e+01	9.0901e+01	1.3088e-20	5.3699e-05	9.9995e-01	3.8998e-07	6.2183e-03	9.9378e-01	4.5364e-34	3.3207e-11	5.0969e-06	3.9367e-03	8.5557e-02	1.7607e-11	1.0884e-06	2.6536e-03	1.8189e-01	4.7828e-01	2.7726e-01	1.1755e-36	0.00e+00	0.00e+00	1.5337e-01
6.38611e+18	1.5651e+04	3.838e-20	7.7426e+01	9.0899e+01	1.2376e-20	5.2208e-05	9.9995e-01	3.9062e-07	6.2939e-03	9.9371e-01	4.3769e-34	2.8595e-11	5.2000e-06	4.1068e-03	8.9957e-02	1.8328e-11	1.1547e-06	2.9332e-03	1.9164e-01	4.8428e-01	2.6672e-01	1.1755e-36	0.00e+00	0.00e+00	1.9414e-01
8.21262e+18	1.5315e+04	3.804e-20	7.7426e+01	9.0895e+01	1.2250e-20	5.1466e-05	9.9995e-01	4.0432e-07	6.5405e-03	9.9346e-01	4.7965e-34	2.7724e-11	5.5047e-06	4.4078e-03	9.5585e-02	2.0189e-11	1.2824e-06	3.3396e-03	2.0468e-01	4.9032e-01	2.5325e-01	1.1755e-36	0.00e+00	0.00e+00	2.4583e-01
1.05760e+19	1.4919e+04	3.777e-20	7.7426e+01	9.0889e+01	1.2098e-20	5.0808e-05	9.9995e-01	4.2930e-07	6.9717e-03	9.9303e-01	5.6038e-34	2.8716e-11	6.0290e-06	4.8980e-03	1.0374e-01	2.3304e-11	1.4905e-06	3.9861e-03	2.2347e-01	4.9627e-01	2.3495e-01	1.1755e-36	0.00e+00	0.00e+00	3.1218e-01
1.30418e+19	1.4522e+04	3.751e-20	7.7426e+01	9.0883e+01	1.1611e-20	4.9601e-05	9.9995e-01	4.5445e-07	7.4662e-03	9.9253e-01	6.2418e-34	3.0076e-11	6.5849e-06	5.4652e-03	1.1274e-01	2.6382e-11	1.7148e-06	4.7660e-03	2.4355e-01	4.9988e-01	2.1667e-01	1.1755e-36	0.00e+00	0.00e+00	3.6696e-01
1.51247e+19	1.4222e+04	3.744e-20	7.7426e+01	9.0876e+01	1.1554e-20	4.8848e-05	9.9995e-01	4.8617e-07	8.0423e-03	9.9196e-01	7.3364e-34	3.3077e-11	7.2336e-06	6.0855e-03	1.2151e-01	3.0087e-11	1.9744e-06	5.6163e-03	2.6279e-01	5.0057e-01	2.0059e-01	1.1755e-36	0.00e+00	0.00e+00	4.1246e-01
1.69960e+19	1.3965e+04	3.751e-20	7.7426e+01	9.0869e+01	1.1394e-20	4.8535e-05	9.9995e-01	5.2730e-07	8.7433e-03	9.9126e-01	8.8551e-34	3.7829e-11	8.0372e-06	6.8140e-03	1.3089e-01	3.4896e-11	2.2972e-06	6.6207e-03	2.8276e-01	4.9878e-01	1.8536e-01	1.1755e-36	0.00e+00	0.00e+00	4.5604e-01
1.86954e+19	1.3753e+04	3.761e-20	7.7426e+01	9.0861e+01	1.1355e-20	4.8218e-05	9.9995e-01	5.7367e-07	9.5282e-03	9.9047e-01	1.0828e-33	4.3660e-11	8.9262e-06	7.6112e-03	1.4050e-01	4.0421e-11	2.6679e-06	7.7550e-03	3.0240e-01	4.9500e-01	1.7157e-01	1.1755e-36	0.00e+00	0.00e+00	4.9285e-01
2.01695e+19	1.3571e+04	3.777e-20	7.7426e+01	9.0854e+01	1.1375e-20	4.8095e-05	9.9995e-01	6.2631e-07	1.0392e-02	9.8961e-01	1.3371e-33	5.0834e-11	9.9100e-06	8.4694e-03	1.5022e-01	4.6870e-11	3.0918e-06	9.0094e-03	3.2142e-01	4.8959e-01	1.5930e-01	1.1755e-36	0.00e+00	0.00e+00	5.2543e-01
2.15142e+19	1.3411e+04	3.798e-20	7.7426e+01	9.0845e+01	1.1462e-20	4.8090e-05	9.9995e-01	6.8692e-07	1.1371e-02	9.8863e-01	1.6753e-33	5.9668e-11	1.1023e-05	9.4246e-03	1.6051e-01	5.4555e-11	3.5901e-06	1.0454e-02	3.4068e-01	4.8257e-01	1.4784e-01	1.1755e-36	0.00e+00	0.00e+00	5.5606e-01
2.27827e+19	1.3260e+04	3.823e-20	7.7426e+01	9.0837e+01	1.1421e-20	4.8139e-05	9.9995e-01	7.5817e-07	1.2512e-02	9.8749e-01	2.1038e-33	7.0611e-11	1.2304e-05	1.0513e-02	1.7166e-01	6.3810e-11	4.1855e-06	1.2160e-02	3.6043e-01	4.7398e-01	1.3694e-01	1.1755e-36	0.00e+00	0.00e+00	5.8509e-01
2.39737e+19	1.3135e+04	3.849e-20	7.7426e+01	9.0827e+01	1.1642e-20	4.8211e-05	9.9995e-01	8.4136e-07	1.3830e-02	9.8617e-01	2.7186e-33	8.4267e-11	1.3758e-05	1.1731e-02	1.8361e-01	7.5068e-11	4.9030e-06	1.4166e-02	3.8047e-01	4.6396e-01	1.2664e-01	1.1755e-36	0.00e+00	0.00e+00	6.1215e-01
2.50683e+19	1.3021e+04	3.880e-20	7.7426e+01	9.0813e+01	1.1785e-20	4.8335e-05	9.9995e-01	9.3751e-07	1.5338e-02	9.8466e-01	3.5114e-33	1.0073e-10	1.5374e-05	1.3069e-02	1.9626e-01	8.8542e-11	5.7522e-06	1.6491e-02	4.0035e-01	4.5277e-01	1.1712e-01	1.1755e-36	0.00e+00	0.00e+00	6.3674e-01
2.60646e+19	1.2908e+04	3.915e-20	7.7426e+01	9.0798e+01	1.2061e-20	4.8514e-05	9.9995e-01	1.0484e-06	1.7053e-02	9.8295e-01	4.5796e-33	1.2050e-10	1.7177e-05	1.4538e-02	2.0960e-01	1.0455e-10	6.7498e-06	1.9167e-02	4.1987e-01	4.4062e-01	1.0837e-01	1.1755e-36	0.00e+00	0.00e+00	6.5930e-01
