#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
6.37653e+12	1.4591e+04	1.113e-15	1.2916e+04	1.5081e+04	1.3343e-17	6.6099e-04	9.9934e-01	4.5908e-05	6.5401e-02	9.3455e-01	7.0762e-24	7.1708e-07	2.5587e-03	1.9118e-01	4.1570e-01	3.0726e-07	7.0765e-04	1.1060e-01	6.8358e-01	1.9304e-01	1.1716e-02	7.6262e-31	0.00e+00	0.00e+00	6.8726e-04
3.82592e+13	1.4575e+04	1.111e-15	1.2916e+04	1.5078e+04	1.3438e-17	6.5986e-04	9.9934e-01	4.5885e-05	6.5396e-02	9.3456e-01	7.0262e-24	7.1150e-07	2.5529e-03	1.9091e-01	4.1650e-01	3.0638e-07	7.0711e-04	1.1088e-01	6.8368e-01	1.9270e-01	1.1679e-02	7.5797e-31	0.00e+00	0.00e+00	3.4316e-03
1.65790e+14	1.4545e+04	1.106e-15	1.2916e+04	1.5076e+04	1.3490e-17	6.5743e-04	9.9934e-01	4.5953e-05	6.5558e-02	9.3440e-01	7.0067e-24	7.0422e-07	2.5585e-03	1.9167e-01	4.1829e-01	3.0630e-07	7.0936e-04	1.1209e-01	6.8389e-01	1.9141e-01	1.1547e-02	7.5224e-31	0.00e+00	0.00e+00	1.4369e-02
6.75912e+14	1.4450e+04	1.094e-15	1.2916e+04	1.5075e+04	1.3516e-17	6.5219e-04	9.9935e-01	4.6683e-05	6.6807e-02	9.3315e-01	7.1088e-24	6.9682e-07	2.6043e-03	1.9616e-01	4.2366e-01	3.0969e-07	7.2253e-04	1.1706e-01	6.8429e-01	1.8647e-01	1.1110e-02	7.4443e-31	0.00e+00	0.00e+00	5.7768e-02
1.61454e+15	1.4178e+04	1.048e-15	1.2916e+04	1.5075e+04	1.2811e-17	6.2145e-04	9.9938e-01	4.5975e-05	6.6536e-02	9.3342e-01	6.2257e-24	6.4163e-07	2.5998e-03	1.9926e-01	4.3353e-01	2.9215e-07	7.1483e-04	1.2390e-01	6.8597e-01	1.7853e-01	1.0562e-02	6.2150e-31	0.00e+00	0.00e+00	1.1153e-01
2.83475e+15	1.3934e+04	1.013e-15	1.2916e+04	1.5074e+04	1.2130e-17	5.9557e-04	9.9940e-01	4.6514e-05	6.8157e-02	9.3180e-01	5.6894e-24	6.1487e-07	2.6462e-03	2.0634e-01	4.4350e-01	2.8428e-07	7.2506e-04	1.3351e-01	6.8656e-01	1.6903e-01	9.8706e-03	5.3209e-31	0.00e+00	0.00e+00	1.7850e-01
4.42102e+15	1.3702e+04	9.844e-16	1.2916e+04	1.5069e+04	1.1443e-17	5.7241e-04	9.9943e-01	4.8617e-05	7.2295e-02	9.2766e-01	5.4102e-24	6.0997e-07	2.7527e-03	2.1867e-01	4.5428e-01	2.8573e-07	7.5746e-04	1.4797e-01	6.8494e-01	1.5707e-01	8.9898e-03	4.6285e-31	0.00e+00	0.00e+00	2.6219e-01
6.48318e+15	1.3476e+04	9.640e-16	1.2916e+04	1.5060e+04	1.0774e-17	5.5216e-04	9.9945e-01	5.3422e-05	8.0701e-02	9.1925e-01	5.4894e-24	6.3180e-07	2.9515e-03	2.3889e-01	4.6555e-01	3.0216e-07	8.2904e-04	1.7094e-01	6.7854e-01	1.4158e-01	7.8669e-03	4.1674e-31	0.00e+00	0.00e+00	3.6713e-01
8.77118e+15	1.3272e+04	9.520e-16	1.2916e+04	1.5045e+04	9.9199e-18	5.2972e-04	9.9947e-01	6.1057e-05	9.4241e-02	9.0570e-01	5.5882e-24	6.6516e-07	3.2007e-03	2.6521e-01	4.7466e-01	3.2588e-07	9.3129e-04	2.0308e-01	6.6475e-01	1.2435e-01	6.6925e-03	3.6931e-31	0.00e+00	0.00e+00	4.6408e-01
1.07736e+16	1.3125e+04	9.550e-16	1.2916e+04	1.5031e+04	9.2160e-18	5.1379e-04	9.9949e-01	7.1993e-05	1.1281e-01	8.8712e-01	5.9696e-24	7.1352e-07	3.4860e-03	2.9365e-01	4.7906e-01	3.6341e-07	1.0696e-03	2.4118e-01	6.4353e-01	1.0838e-01	5.6673e-03	3.4508e-31	0.00e+00	0.00e+00	5.3780e-01
1.23371e+16	1.3058e+04	9.650e-16	1.2916e+04	1.5000e+04	8.7840e-18	5.0530e-04	9.9949e-01	8.4731e-05	1.3427e-01	8.6565e-01	6.6419e-24	7.6482e-07	3.7555e-03	3.1951e-01	4.8015e-01	4.1122e-07	1.2281e-03	2.8070e-01	6.1807e-01	9.5006e-02	4.8498e-03	3.4781e-31	0.00e+00	0.00e+00	5.9413e-01
