#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
4.17269e+14	5.8623e+03	3.284e-22	1.0000e+01	1.0485e+01	2.3611e-10	2.8404e-02	9.7160e-01	1.3770e-01	8.6212e-01	1.8135e-04	6.9056e-14	5.7784e-03	7.4310e-01	2.5112e-01	8.1665e-06	3.3971e-02	9.4485e-01	2.1175e-02	3.1455e-07	1.1755e-36	1.1755e-36	6.6269e-22	0.00e+00	0.00e+00	1.4970e-03
2.50361e+15	5.8534e+03	3.273e-22	1.0000e+01	1.0463e+01	2.3714e-10	2.8342e-02	9.7166e-01	1.3764e-01	8.6218e-01	1.8136e-04	6.8591e-14	5.7484e-03	7.4305e-01	2.5120e-01	8.1931e-06	3.3899e-02	9.4489e-01	2.1209e-02	3.1479e-07	1.1755e-36	1.1755e-36	6.5517e-22	0.00e+00	0.00e+00	7.4717e-03
1.08490e+16	5.8268e+03	3.258e-22	1.0000e+01	1.0461e+01	2.4457e-10	2.8407e-02	9.7159e-01	1.3845e-01	8.6137e-01	1.7956e-04	6.9082e-14	5.7479e-03	7.4437e-01	2.4987e-01	8.1017e-06	3.3992e-02	9.4492e-01	2.1084e-02	3.0862e-07	1.1755e-36	1.1755e-36	6.5856e-22	0.00e+00	0.00e+00	3.1425e-02
4.42305e+16	5.7494e+03	3.221e-22	1.0000e+01	1.0454e+01	2.7426e-10	2.8910e-02	9.7109e-01	1.4202e-01	8.5781e-01	1.7197e-04	7.2450e-14	5.8253e-03	7.4990e-01	2.4426e-01	7.6883e-06	3.4653e-02	9.4493e-01	2.0415e-02	2.8070e-07	1.1755e-36	1.1755e-36	6.9303e-22	0.00e+00	0.00e+00	1.2893e-01
1.05652e+17	5.5008e+03	3.101e-22	1.0000e+01	1.0449e+01	3.5305e-10	2.8931e-02	9.7107e-01	1.4708e-01	8.5276e-01	1.6183e-04	7.3608e-14	5.8586e-03	7.5802e-01	2.3611e-01	7.2140e-06	3.4788e-02	9.4530e-01	1.9912e-02	2.5478e-07	1.1755e-36	1.1755e-36	6.8398e-22	0.00e+00	0.00e+00	2.5579e-01
1.63412e+17	5.2780e+03	3.003e-22	1.0000e+01	1.0445e+01	4.4477e-10	2.8896e-02	9.7110e-01	1.5132e-01	8.4852e-01	1.5368e-04	7.4283e-14	5.8835e-03	7.6472e-01	2.2939e-01	6.8354e-06	3.4843e-02	9.4564e-01	1.9517e-02	2.3567e-07	1.1755e-36	1.1755e-36	6.7532e-22	0.00e+00	0.00e+00	3.3989e-01
2.02834e+17	5.1729e+03	2.961e-22	1.0000e+01	1.0439e+01	5.0874e-10	2.9176e-02	9.7082e-01	1.5464e-01	8.4521e-01	1.4777e-04	7.6502e-14	5.9427e-03	7.6952e-01	2.2453e-01	6.5302e-06	3.5242e-02	9.4572e-01	1.9038e-02	2.1860e-07	1.1755e-36	1.1755e-36	6.9614e-22	0.00e+00	0.00e+00	4.0025e-01
2.40508e+17	5.1131e+03	2.944e-22	1.0000e+01	1.0433e+01	5.7210e-10	2.9869e-02	9.7013e-01	1.5891e-01	8.4095e-01	1.4110e-04	8.1377e-14	6.0581e-03	7.7507e-01	2.1886e-01	6.1497e-06	3.6137e-02	9.4556e-01	1.8298e-02	1.9665e-07	1.1755e-36	1.1755e-36	7.5393e-22	0.00e+00	0.00e+00	4.8058e-01
2.89484e+17	5.0537e+03	2.922e-22	1.0000e+01	1.0417e+01	6.5721e-10	3.0861e-02	9.6914e-01	1.6466e-01	8.3521e-01	1.3287e-04	8.8559e-14	6.2197e-03	7.8215e-01	2.1162e-01	5.6774e-06	3.7410e-02	9.4527e-01	1.7318e-02	1.7040e-07	1.1755e-36	1.1755e-36	8.4308e-22	0.00e+00	0.00e+00	5.8848e-01
3.53153e+17	4.9917e+03	2.903e-22	1.0000e+01	1.0392e+01	7.8345e-10	3.2370e-02	9.6763e-01	1.7283e-01	8.2705e-01	1.2258e-04	1.0005e-13	6.4515e-03	7.9148e-01	2.0207e-01	5.0828e-06	3.9334e-02	9.4465e-01	1.6016e-02	1.3978e-07	1.1755e-36	1.1755e-36	9.9405e-22	0.00e+00	0.00e+00	7.3561e-01
4.35923e+17	4.9356e+03	2.889e-22	1.0000e+01	1.0364e+01	9.7657e-10	3.4748e-02	9.6525e-01	1.8486e-01	8.1503e-01	1.1007e-04	1.1953e-13	6.7975e-03	8.0389e-01	1.8931e-01	4.3454e-06	4.2343e-02	9.4336e-01	1.4297e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.2664e-21	0.00e+00	0.00e+00	9.4093e-01
