#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
1.92541e+14	7.0778e+03	2.771e-21	2.7826e+01	2.9800e+01	4.7597e-12	1.3440e-02	9.8656e-01	4.0437e-02	9.5625e-01	3.3148e-03	6.2390e-15	1.8459e-03	4.3893e-01	5.5890e-01	3.2174e-04	1.2979e-02	8.0597e-01	1.8097e-01	7.8215e-05	1.1755e-36	1.1755e-36	5.8936e-23	0.00e+00	0.00e+00	9.0935e-04
1.15525e+15	7.0696e+03	2.767e-21	2.7826e+01	2.9778e+01	4.7788e-12	1.3426e-02	9.8657e-01	4.0446e-02	9.5624e-01	3.3119e-03	6.2204e-15	1.8403e-03	4.3899e-01	5.5885e-01	3.2249e-04	1.2964e-02	8.0583e-01	1.8113e-01	7.8084e-05	1.1755e-36	1.1755e-36	5.8606e-23	0.00e+00	0.00e+00	4.5429e-03
5.00608e+15	7.0576e+03	2.756e-21	2.7826e+01	2.9771e+01	4.8166e-12	1.3416e-02	9.8658e-01	4.0542e-02	9.5617e-01	3.2880e-03	6.2198e-15	1.8375e-03	4.3962e-01	5.5822e-01	3.2132e-04	1.2962e-02	8.0602e-01	1.8094e-01	7.6944e-05	1.1755e-36	1.1755e-36	5.8387e-23	0.00e+00	0.00e+00	1.9067e-02
2.04094e+16	7.0144e+03	2.729e-21	2.7826e+01	2.9767e+01	5.0339e-12	1.3483e-02	9.8652e-01	4.1037e-02	9.5580e-01	3.1659e-03	6.3401e-15	1.8513e-03	4.4274e-01	5.5509e-01	3.1414e-04	1.3068e-02	8.0770e-01	1.7916e-01	7.1738e-05	1.1755e-36	1.1755e-36	5.9108e-23	0.00e+00	0.00e+00	7.7454e-02
4.87515e+16	6.8624e+03	2.639e-21	2.7826e+01	2.9772e+01	5.4358e-12	1.3241e-02	9.8676e-01	4.1681e-02	9.5527e-01	3.0527e-03	6.1451e-15	1.8439e-03	4.4699e-01	5.5086e-01	3.0847e-04	1.2853e-02	8.0756e-01	1.7952e-01	6.7066e-05	1.1755e-36	1.1755e-36	5.4750e-23	0.00e+00	0.00e+00	1.5199e-01
8.55962e+16	6.7246e+03	2.566e-21	2.7826e+01	2.9771e+01	5.9926e-12	1.3178e-02	9.8682e-01	4.2578e-02	9.5458e-01	2.8399e-03	6.1473e-15	1.8614e-03	4.5269e-01	5.4515e-01	2.9695e-04	1.2841e-02	8.0890e-01	1.7820e-01	5.9821e-05	1.1755e-36	1.1755e-36	5.2938e-23	0.00e+00	0.00e+00	2.4843e-01
1.33494e+17	6.5938e+03	2.501e-21	2.7826e+01	2.9764e+01	6.7976e-12	1.3304e-02	9.8670e-01	4.3861e-02	9.5360e-01	2.5347e-03	6.3743e-15	1.9047e-03	4.6058e-01	5.3724e-01	2.7947e-04	1.3066e-02	8.1307e-01	1.7382e-01	5.0041e-05	1.1755e-36	1.1755e-36	5.3576e-23	0.00e+00	0.00e+00	3.7500e-01
1.95762e+17	6.4722e+03	2.446e-21	2.7826e+01	2.9749e+01	7.9904e-12	1.3681e-02	9.8632e-01	4.5702e-02	9.5215e-01	2.1454e-03	6.9221e-15	1.9831e-03	4.7143e-01	5.2633e-01	2.5568e-04	1.3602e-02	8.2018e-01	1.6618e-01	3.8605e-05	1.1755e-36	1.1755e-36	5.7536e-23	0.00e+00	0.00e+00	5.4421e-01
2.76710e+17	6.3677e+03	2.405e-21	2.7826e+01	2.9722e+01	9.8298e-12	1.4449e-02	9.8555e-01	4.8413e-02	9.4989e-01	1.6963e-03	8.0296e-15	2.1152e-03	4.8656e-01	5.1110e-01	2.2538e-04	1.4620e-02	8.3100e-01	1.5435e-01	2.6669e-05	1.1755e-36	1.1755e-36	6.7340e-23	0.00e+00	0.00e+00	7.7653e-01
3.81259e+17	6.2933e+03	2.385e-21	2.7826e+01	2.9670e+01	1.2833e-11	1.5866e-02	9.8413e-01	5.2517e-02	9.4625e-01	1.2326e-03	1.0247e-14	2.3319e-03	5.0781e-01	4.8967e-01	1.8901e-04	1.6442e-02	8.4624e-01	1.3730e-01	1.5857e-05	1.1755e-36	1.1755e-36	8.9511e-23	0.00e+00	0.00e+00	1.1044e+00
4.93601e+17	6.2649e+03	2.390e-21	2.7826e+01	2.9599e+01	1.6999e-11	1.7885e-02	9.8212e-01	5.7537e-02	9.4159e-01	8.7028e-04	1.3828e-14	2.6092e-03	5.3157e-01	4.6566e-01	1.5499e-04	1.9004e-02	8.6232e-01	1.1867e-01	8.8037e-06	1.1755e-36	1.1755e-36	1.2964e-22	0.00e+00	0.00e+00	1.4409e+00
5.90787e+17	6.2959e+03	2.423e-21	2.7826e+01	2.9521e+01	2.1872e-11	2.0388e-02	9.7961e-01	6.2920e-02	9.3644e-01	6.4214e-04	1.9064e-14	2.9163e-03	5.5464e-01	4.4231e-01	1.2755e-04	2.2146e-02	8.7635e-01	1.0150e-01	5.0210e-06	1.1755e-36	1.1755e-36	1.9635e-22	0.00e+00	0.00e+00	1.7536e+00
6.71282e+17	6.3547e+03	2.468e-21	2.7826e+01	2.9423e+01	2.7482e-11	2.3238e-02	9.7676e-01	6.8532e-02	9.3097e-01	4.9881e-04	2.6184e-14	3.2294e-03	5.7629e-01	4.2038e-01	1.0588e-04	2.5707e-02	8.8754e-01	8.6750e-02	3.0057e-06	1.1755e-36	1.1755e-36	2.9858e-22	0.00e+00	0.00e+00	2.0545e+00
7.42613e+17	6.4311e+03	2.519e-21	2.7826e+01	2.9313e+01	3.4287e-11	2.6569e-02	9.7343e-01	7.4706e-02	9.2490e-01	3.9848e-04	3.6185e-14	3.5600e-03	5.9782e-01	3.9853e-01	8.7551e-05	2.9866e-02	8.9655e-01	7.3584e-02	1.8254e-06	1.1755e-36	1.1755e-36	4.6006e-22	0.00e+00	0.00e+00	2.3764e+00
8.11262e+17	6.5000e+03	2.583e-21	2.7826e+01	2.9181e+01	4.4497e-11	3.0842e-02	9.6916e-01	8.2114e-02	9.1757e-01	3.2045e-04	5.1749e-14	3.9345e-03	6.2129e-01	3.7471e-01	7.0679e-05	3.5185e-02	9.0371e-01	6.1106e-02	1.0776e-06	1.1755e-36	1.1755e-36	7.4310e-22	0.00e+00	0.00e+00	2.7468e+00
8.78675e+17	6.5875e+03	2.654e-21	2.7826e+01	2.9027e+01	5.9092e-11	3.6432e-02	9.6357e-01	9.1144e-02	9.0860e-01	2.5879e-04	7.6981e-14	4.3572e-03	6.4668e-01	3.4891e-01	5.5389e-05	4.2130e-02	9.0852e-01	4.9348e-02	6.1047e-07	1.1755e-36	1.1755e-36	1.2723e-21	0.00e+00	0.00e+00	3.1724e+00
9.41953e+17	6.6850e+03	2.723e-21	2.7826e+01	2.8777e+01	7.9822e-11	4.3502e-02	9.5650e-01	1.0189e-01	8.9790e-01	2.1170e-04	1.1690e-13	4.7954e-03	6.7258e-01	3.2258e-01	4.2488e-05	5.0884e-02	9.1008e-01	3.9038e-02	3.3954e-07	1.1755e-36	1.1755e-36	2.2486e-21	0.00e+00	0.00e+00	3.6316e+00
9.98762e+17	6.7762e+03	2.792e-21	2.7826e+01	2.8521e+01	1.1008e-10	5.2291e-02	9.4771e-01	1.1409e-01	8.8573e-01	1.7669e-04	1.8013e-13	5.2403e-03	6.9860e-01	2.9613e-01	3.2003e-05	6.1718e-02	9.0785e-01	3.0428e-02	1.8822e-07	1.1755e-36	1.1755e-36	4.0692e-21	0.00e+00	0.00e+00	4.1235e+00
1.04831e+18	6.8589e+03	2.852e-21	2.7826e+01	2.8227e+01	1.5294e-10	6.2812e-02	9.3719e-01	1.2762e-01	8.7223e-01	1.5067e-04	2.7684e-13	5.6598e-03	7.2346e-01	2.7086e-01	2.3938e-05	7.4617e-02	9.0179e-01	2.3589e-02	1.1755e-36	1.1755e-36	1.1755e-36	7.3618e-21	0.00e+00	0.00e+00	4.6263e+00
1.09027e+18	6.9343e+03	2.888e-21	2.7826e+01	2.7824e+01	2.0930e-10	7.4626e-02	9.2537e-01	1.4193e-01	8.5794e-01	1.3140e-04	4.1349e-13	6.0108e-03	7.4578e-01	2.4819e-01	1.8077e-05	8.9019e-02	8.9256e-01	1.8424e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.2825e-20	0.00e+00	0.00e+00	5.1292e+00
1.12642e+18	6.9963e+03	2.907e-21	2.7826e+01	2.7403e+01	2.8547e-10	8.8031e-02	9.1197e-01	1.5719e-01	8.4269e-01	1.1633e-04	6.0843e-13	6.3154e-03	7.6646e-01	2.2721e-01	1.3695e-05	1.0525e-01	8.8030e-01	1.4445e-02	1.1755e-36	1.1755e-36	1.1755e-36	2.1926e-20	0.00e+00	0.00e+00	5.6543e+00
