#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
1.48559e+11	8.4020e+03	3.448e-15	3.5938e+04	3.8527e+04	4.6145e-14	1.0613e-02	9.8939e-01	5.5665e-02	9.4380e-01	5.3151e-04	4.7448e-15	1.6725e-03	5.1942e-01	4.7884e-01	6.8170e-05	1.1559e-02	9.0499e-01	8.3444e-02	5.8478e-06	1.1755e-36	1.1755e-36	3.5291e-23	0.00e+00	0.00e+00	7.1559e-04
8.91357e+11	8.3966e+03	3.442e-15	3.5938e+04	3.8502e+04	4.6200e-14	1.0600e-02	9.8940e-01	5.5656e-02	9.4381e-01	5.3116e-04	4.7301e-15	1.6674e-03	5.1941e-01	4.7886e-01	6.8355e-05	1.1545e-02	9.0495e-01	8.3505e-02	5.8343e-06	1.1755e-36	1.1755e-36	3.5110e-23	0.00e+00	0.00e+00	3.5745e-03
3.86255e+12	8.3840e+03	3.430e-15	3.5938e+04	3.8496e+04	4.6437e-14	1.0593e-02	9.8941e-01	5.5775e-02	9.4370e-01	5.2715e-04	4.7300e-15	1.6645e-03	5.2002e-01	4.7824e-01	6.8075e-05	1.1542e-02	9.0512e-01	8.3331e-02	5.7407e-06	1.1755e-36	1.1755e-36	3.5008e-23	0.00e+00	0.00e+00	1.5003e-02
1.57473e+13	8.3608e+03	3.394e-15	3.5938e+04	3.8491e+04	4.7135e-14	1.0612e-02	9.8939e-01	5.6327e-02	9.4317e-01	5.0798e-04	4.7786e-15	1.6710e-03	5.2275e-01	4.7552e-01	6.6734e-05	1.1584e-02	9.0609e-01	8.2318e-02	5.3443e-06	1.1755e-36	1.1755e-36	3.5172e-23	0.00e+00	0.00e+00	6.0800e-02
3.76153e+13	8.2630e+03	3.275e-15	3.5938e+04	3.8497e+04	4.7226e-14	1.0373e-02	9.8963e-01	5.6608e-02	9.4290e-01	4.9249e-04	4.5740e-15	1.6537e-03	5.2472e-01	4.7356e-01	6.6014e-05	1.1342e-02	9.0645e-01	8.2199e-02	4.9840e-06	1.1755e-36	1.1755e-36	3.2519e-23	0.00e+00	0.00e+00	1.1899e-01
6.60436e+13	8.1687e+03	3.169e-15	3.5938e+04	3.8501e+04	4.8279e-14	1.0249e-02	9.8975e-01	5.7357e-02	9.4218e-01	4.5981e-04	4.4937e-15	1.6565e-03	5.2877e-01	4.6951e-01	6.4048e-05	1.1241e-02	9.0772e-01	8.1030e-02	4.4258e-06	1.1755e-36	1.1755e-36	3.1052e-23	0.00e+00	0.00e+00	1.9374e-01
1.03000e+14	8.0734e+03	3.068e-15	3.5938e+04	3.8498e+04	5.0439e-14	1.0232e-02	9.8977e-01	5.8697e-02	9.4089e-01	4.1117e-04	4.5302e-15	1.6777e-03	5.3533e-01	4.6293e-01	6.0830e-05	1.1275e-02	9.1000e-01	7.8725e-02	3.7053e-06	1.1755e-36	1.1755e-36	3.0571e-23	0.00e+00	0.00e+00	2.9075e-01
1.51044e+14	7.9763e+03	2.973e-15	3.5938e+04	3.8489e+04	5.4195e-14	1.0355e-02	9.8964e-01	6.0887e-02	9.3876e-01	3.4781e-04	4.7223e-15	1.7227e-03	5.4534e-01	4.5288e-01	5.6213e-05	1.1485e-02	9.1350e-01	7.5011e-02	2.8703e-06	1.1755e-36	1.1755e-36	3.1299e-23	0.00e+00	0.00e+00	4.1838e-01
2.13501e+14	7.8796e+03	2.887e-15	3.5938e+04	3.8468e+04	6.0537e-14	1.0685e-02	9.8931e-01	6.4417e-02	9.3531e-01	2.7372e-04	5.1658e-15	1.8031e-03	5.6030e-01	4.3784e-01	5.0075e-05	1.1956e-02	9.1854e-01	6.9507e-02	2.0015e-06	1.1755e-36	1.1755e-36	3.3943e-23	0.00e+00	0.00e+00	5.8959e-01
2.94696e+14	7.7866e+03	2.816e-15	3.5938e+04	3.8429e+04	7.1618e-14	1.1358e-02	9.8864e-01	7.0216e-02	9.2959e-01	1.9625e-04	6.0778e-15	1.9392e-03	5.8262e-01	4.1540e-01	4.2339e-05	1.2857e-02	9.2539e-01	6.1753e-02	1.2063e-06	1.1755e-36	1.1755e-36	4.0226e-23	0.00e+00	0.00e+00	8.2619e-01
3.98499e+14	7.6996e+03	2.772e-15	3.5938e+04	3.8378e+04	9.2499e-14	1.2629e-02	9.8737e-01	8.0068e-02	9.1981e-01	1.2586e-04	7.9833e-15	2.1648e-03	6.1555e-01	3.8225e-01	3.3167e-05	1.4505e-02	9.3400e-01	5.1491e-02	5.9823e-07	1.1755e-36	1.1755e-36	5.4730e-23	0.00e+00	0.00e+00	1.1582e+00
5.02565e+14	7.6426e+03	2.753e-15	3.5938e+04	3.8265e+04	1.2258e-13	1.4355e-02	9.8564e-01	9.2908e-02	9.0701e-01	7.9770e-05	1.0934e-14	2.4344e-03	6.5170e-01	3.4584e-01	2.5246e-05	1.6710e-02	9.4161e-01	4.1683e-02	2.8443e-07	1.1755e-36	1.1755e-36	7.9140e-23	0.00e+00	0.00e+00	1.4589e+00
5.83548e+14	7.6242e+03	2.773e-15	3.5938e+04	3.8135e+04	1.6060e-13	1.6375e-02	9.8362e-01	1.0713e-01	8.9281e-01	5.5512e-05	1.5038e-14	2.7086e-03	6.8471e-01	3.1256e-01	1.9447e-05	1.9257e-02	9.4682e-01	3.3920e-02	1.4914e-07	1.1755e-36	1.1755e-36	1.1672e-22	0.00e+00	0.00e+00	1.7178e+00
